LeadId,Title,Industry,Employees,TimeZone,Stage,CreatedDate,OwnerEmployeeId,ConvertedOpportunityId,LeadSource,DisqualifiedReason
1,Manager,Internet Software & Services,50,PST,Disqualified,20210105,4,,Purchased List,Abandoned
2,,Internet Software & Services,50,CST,Disqualified,20210105,4,,Purchased List,Abandoned
3,C - Level,,50,PST,Disqualified,20210105,2,,Purchased List,Abandoned
4,,advertising_&_marketing,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
5,Director,Hospitality,150,PST,Disqualified,20210105,2,,Purchased List,Abandoned
6,"Director, Operations",Consumer Discretionary,150,EST,Disqualified,20210105,1,,Purchased List,Abandoned
7,Chief Operating Officer,Financial Services,,PST,Disqualified,20210105,2,,Purchased List,Bad Email
8,,Travel,150,PST,Disqualified,20210105,2,,Purchased List,Abandoned
9,Chief Executive Officer,Consumer Discretionary,150,EST,Disqualified,20210105,2,,Purchased List,Abandoned
10,Chief operating officer,Consumer Discretionary,150,PST,Disqualified,20210105,3,,Purchased List,Abandoned
11,Director,Advertising & Marketing,50,CST,Disqualified,20210105,1,,Purchased List,Abandoned
12,Manager,Internet Software & Services,5050,PST,Disqualified,20210105,3,,Purchased List,Abandoned
13,,Professional Services,150,CST,Disqualified,20210105,1,,Purchased List,Abandoned
14,Staff,Professional Services,250,,Disqualified,20210105,1,,Purchased List,Abandoned
15,Manager,Consumer Staples,250,MST,Disqualified,20210105,1,,Purchased List,Not Interested
16,C - Level,Media,50,MST,Disqualified,20210105,1,,Purchased List,Abandoned
17,Realtor,Technology,150,EST,Disqualified,20210105,2,,Purchased List,Abandoned
18,C - Level,Professional Services,650,PST,Disqualified,20210105,1,,Purchased List,Abandoned
19,Agency Account & Strategy,Professional Services,,EST,Disqualified,20210105,1,,Purchased List,Not Interested
20,General Manager,Internet Software & Services,50,MST,Disqualified,20210105,2,,Purchased List,Not Interested
21,OFFICE MANAGER,Restaurant,150,EST,Disqualified,20210105,4,,Purchased List,Abandoned
22,IT Project Manager,CONSULTANT,50,,Disqualified,20210105,1,,Purchased List,Abandoned
23,Chief Strategy Officer,"Textiles, Apparel & Luxury Goods",50,MST,Disqualified,20210105,1,,Purchased List,Abandoned
24,C - Level,Diversified Financial Services,50,MST,Disqualified,20210105,4,,Purchased List,Abandoned
25,,Consumer Discretionary,3850,PST,Disqualified,20210105,3,,Purchased List,Not Interested
26,President,Financial Services,150,,Disqualified,20210105,4,,Purchased List,Not Interested
27,owner,Chemicals,150,PST,Disqualified,20210105,4,,Purchased List,Abandoned
28,President,Entertainment & Media,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
29,Director,"Textiles, Apparel & Luxury Goods",350,,Disqualified,20210105,4,,Purchased List,Abandoned
30,Staff,Consumer Discretionary,50,EST,Disqualified,20210105,3,,Purchased List,Not Interested
31,C - Level,Internet Software & Services,50,,Disqualified,20210105,3,,Purchased List,Abandoned
32,SVP / VP,,50,EST,Disqualified,20210105,3,,Purchased List,Abandoned
33,,Media,,EST,Disqualified,20210105,3,,Purchased List,Abandoned
34,"Founder, CEO",Unknown,,CST,Disqualified,20210105,3,,Purchased List,Unsubscribed/Do Not Call
35,Example-Job-title,Electrical Equipment,15050,PST,Disqualified,20210105,4,,Purchased List,Abandoned
36,,Internet Software & Services,850,CST,Disqualified,20210105,4,,Purchased List,Abandoned
37,,Internet Software & Services,50,EST,Disqualified,20210105,4,,Purchased List,Not Interested
38,Manager,Retail,350,EST,Disqualified,20210105,4,,Purchased List,Abandoned
39,C - Level,Technology,50,PST,Disqualified,20210105,4,,Purchased List,Not Interested
40,,ECommerce,9050,PST,New,20210105,,,Purchased List,
41,Manager,Entertainment & Media,50,CST,New,20210105,,,Purchased List,
42,Director,Internet Software & Services,50,PST,New,20210105,,,Purchased List,
43,C - Level,Professional Services,50,,Disqualified,20210105,1,,Purchased List,Abandoned
44,Co-Owner,Internet Software & Services,150,EST,Disqualified,20210105,1,,Purchased List,Abandoned
45,,,250,CST,New,20210105,,,Purchased List,
46,C - Level,Hospitality,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
47,,Retail,15050,EST,Disqualified,20210105,2,,Purchased List,Abandoned
48,Director,Internet Software & Services,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
49,Staff,Internet Software & Services,550,MST,Disqualified,20210105,4,,Purchased List,Not Interested
50,Manager,Internet Software & Services,350,PST,Disqualified,20210105,4,,Purchased List,Abandoned
51,,Education Services,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
52,,Consumer Staples,350,CST,New,20210105,,,Purchased List,
53,Chief Operating Officer,Internet Software & Services,50,MST,Disqualified,20210105,5,,Purchased List,Abandoned
54,General Manager,Consumer Staples,50,PST,Disqualified,20210105,5,,Purchased List,Abandoned
55,Manager,Media,5050,MST,Disqualified,20210105,5,,Purchased List,Abandoned
56,,Retail,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
57,C - Level,Consumer Discretionary,50,MST,Disqualified,20210105,5,,Purchased List,Abandoned
58,Staff,Professional Services,50,EST,Disqualified,20210105,1,,Purchased List,Abandoned
59,,Automotive,250,EST,Disqualified,20210105,1,,Purchased List,Abandoned
60,Director,Consumer Staples,250,PST,Disqualified,20210105,1,,Purchased List,Unsubscribed/Do Not Call
61,Manager,Professional Services,150,PST,Disqualified,20210105,1,,Purchased List,Abandoned
62,"Director, Operations",Media,450,EST,Disqualified,20210105,1,,Purchased List,Unsubscribed/Do Not Call
63,C - Level,Renewable Electricity,50,PST,Disqualified,20210105,2,,Purchased List,Abandoned
64,Manager,Advertising & Marketing,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
65,Director,Consumer Staples,50,PST,Disqualified,20210105,2,,Purchased List,Abandoned
66,C - Level,Real Estate,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
67,Manager,Professional Services,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
68,Manager,Advertising & Marketing,50,EST,Disqualified,20210105,3,,Purchased List,Abandoned
69,C - Level,,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
70,,Professional Services,150,EST,Disqualified,20210105,3,,Purchased List,Abandoned
71,,Entertainment & Media,150,EST,Disqualified,20210105,5,,Purchased List,Abandoned
72,Director,"Hotels, Restaurants & Leisure",50,,Disqualified,20210105,3,,Purchased List,Abandoned
73,Staff,Health Care Providers & Services,250,EST,Disqualified,20210105,2,,Purchased List,Abandoned
74,Manager,Real Estate,50,EST,Disqualified,20210105,3,,Purchased List,Not Interested
75,,Real Estate,50,PST,Disqualified,20210105,2,,Purchased List,Abandoned
76,C - Level,Chemicals,50,PST,Disqualified,20210105,2,,Purchased List,Abandoned
77,"Director, Facilities",Diversified Consumer Services,50,MST,Disqualified,20210105,2,,Purchased List,Abandoned
78,,Financial Services,50,CST,Disqualified,20210105,3,,Purchased List,Unsubscribed/Do Not Call
79,Staff,Entertainment & Media,450,EST,Disqualified,20210105,5,,Purchased List,Abandoned
80,Director,Internet Software & Services,50,CST,Disqualified,20210105,3,,Purchased List,Abandoned
81,CEO,Retail,,EST,Disqualified,20210105,5,,Purchased List,Abandoned
82,,Internet Software & Services,3350,PST,Disqualified,20210105,3,,Purchased List,Abandoned
83,Manager,Food Products,150,PST,Disqualified,20210105,5,,Purchased List,Abandoned
84,N/A,Media,,PST,Disqualified,20210105,5,,Purchased List,Abandoned
85,Manager,Entertainment & Media,50,PST,Disqualified,20210105,3,,Purchased List,Wrong Contact
86,owner,Retail,150,CST,Disqualified,20210105,3,,Purchased List,Wrong Contact
87,Director,Health Care Providers & Services,650,EST,Disqualified,20210105,3,,Purchased List,Bad Email
88,,Retail,5050,PST,Disqualified,20210105,3,,Purchased List,Abandoned
89,"Vice President, Operations",,250,PST,Disqualified,20210105,3,,Purchased List,Abandoned
90,Staff,"Hotels, Restaurants & Leisure",350,EST,Disqualified,20210105,3,,Purchased List,Abandoned
91,,Automotive,50,PST,Disqualified,20210105,3,,Purchased List,Abandoned
92,VP of HR,,,PST,Disqualified,20210105,3,,Purchased List,Abandoned
93,"Director, Human Resources",Media,350,CST,Disqualified,20210105,4,,Purchased List,Abandoned
94,"CEO, President",Food Products,50,EST,Disqualified,20210105,3,,Purchased List,Abandoned
95,Founder,Construction,150,MST,Disqualified,20210105,4,,Purchased List,Abandoned
96,Director,,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
97,C - Level,,150,CST,Disqualified,20210105,5,,Purchased List,Abandoned
98,media_and_communication - cxo,Non-profit,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
99,Staff,Other,50,CST,Disqualified,20210105,5,,Purchased List,Wrong Contact
100,,Manufacturing,50,EST,Disqualified,20210105,5,,Purchased List,Wrong Contact
101,operations - cxo,Media,50,EST,Disqualified,20210105,5,,Purchased List,Abandoned
102,Director,Travel,50,PST,Qualified,20210105,3,17,Purchased List,
103,consulting - director,Consumer Staples,50,,Disqualified,20210105,3,,Purchased List,Abandoned
104,,Real Estate,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
105,,ECommerce,,PST,Disqualified,20210105,3,,Purchased List,Abandoned
106,"Director, Property Management",Internet Software & Services,50,PST,Disqualified,20210105,1,,Purchased List,Bad Email
107,CUF,Consumer Discretionary,,CST,Disqualified,20210105,3,,Purchased List,Abandoned
108,,Restaurant,15050,EST,Disqualified,20210105,3,,Purchased List,Abandoned
109,C - Level,Real Estate,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
110,Staff,Professional Services,50,PST,Disqualified,20210105,4,,Purchased List,Not Interested
111,C - Level,Consumer Staples,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
112,CTO,Leisure Products,50,EST,Disqualified,20210105,1,,Purchased List,Abandoned
113,Blogger,Internet Software & Services,50,PST,Disqualified,20210105,1,,Purchased List,Unsubscribed/Do Not Call
114,Manager,Consumer Discretionary,50,EST,Disqualified,20210105,1,,Purchased List,Abandoned
115,"Vice President, Operations",Consumer Discretionary,250,PST,Disqualified,20210105,4,,Purchased List,Not Interested
116,Staff,Professional Services,50,EST,Disqualified,20210105,2,,Purchased List,Unsubscribed/Do Not Call
117,C - Level,Organizations & Associations,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
118,Director,Internet Software & Services,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
119,Director,Health Care Providers & Services,50,PST,Disqualified,20210105,1,,Purchased List,Not Interested
120,Director,Financial Services,50,PST,Disqualified,20210105,4,,Purchased List,Abandoned
121,,Education Services,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
122,,Consumer Discretionary,150,PST,Disqualified,20210105,2,,Purchased List,Bad Email
123,media_and_communication - cxo,Internet Software & Services,,CST,Disqualified,20210105,3,,Purchased List,Abandoned
124,Manager,Retail,,EST,Disqualified,20210105,1,,Purchased List,Abandoned
125,Staff,Advertising & Marketing,50,PST,Qualified,20210105,3,53,Purchased List,
126,C - Level,Professional Services,50,PST,Disqualified,20210105,2,,Purchased List,Abandoned
127,Chief Administrative Officer,"Hotels, Restaurants & Leisure",150,,Disqualified,20210105,3,,Purchased List,Abandoned
128,Marketing DIrector,Internet Software & Services,50,PST,Disqualified,20210105,1,,Purchased List,Not Interested
129,Manager,Technology,50,PST,Disqualified,20210105,4,,Purchased List,Abandoned
130,Staff,Consumer Discretionary,250,EST,Disqualified,20210105,1,,Purchased List,Not Interested
131,Director,Consumer Discretionary,50,PST,Disqualified,20210105,1,,Purchased List,Abandoned
132,C - Level,Technology,350,PST,Disqualified,20210105,1,,Purchased List,Abandoned
133,owner,Internet Software & Services,150,CST,Disqualified,20210105,4,,Purchased List,Bad Email
134,Manager,Other,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
135,Director,Financial Services,150,PST,Disqualified,20210105,5,,Purchased List,Unsubscribed/Do Not Call
136,,,150,EST,Disqualified,20210105,2,,Purchased List,Not Interested
137,Operations Manager,Hospitality,50,CST,Disqualified,20210105,2,,Purchased List,Abandoned
138,C - Level,COMPANY,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
139,,Internet Software & Services,50,MST,Disqualified,20210105,4,,Purchased List,Abandoned
140,C-Level,Consumer Discretionary,50,PST,Disqualified,20210105,5,,Purchased List,Abandoned
141,Staff,Education Services,50,EST,Disqualified,20210105,4,,Purchased List,Wrong Contact
142,Director,Retailing,50,,Disqualified,20210105,4,,Purchased List,Abandoned
143,IBO,Consumer Discretionary,50,EST,Disqualified,20210105,4,,Purchased List,Abandoned
144,Manager,Education,50,PST,Disqualified,20210105,5,,Purchased List,Abandoned
145,,Distributors,50,PST,Disqualified,20210105,2,,Purchased List,Abandoned
146,Staff,Internet Software & Services,350,PST,Disqualified,20210105,4,,Purchased List,Abandoned
147,C - Level,Professional Services,50,EST,Disqualified,20210105,3,,Purchased List,Abandoned
148,SVP / VP,Retail,50,EST,Disqualified,20210105,1,,Purchased List,Not Interested
149,SVP / VP,Internet Software & Services,50,EST,Disqualified,20210105,2,,Purchased List,Abandoned
150,Founder,Retail,50,PST,Disqualified,20210105,5,,Purchased List,Abandoned
151,Staff,Specialized Consumer Services,50,PST,Disqualified,20210105,3,,Purchased List,Bad Email
